App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version
"Learn C Programming - Theory, Programs, MCQ","Visit website
gangodapradip213@gmail.com
Privacy Policy",PRADIP R GANGODAEducation,Completely free,No Interactive Elements,"November 13, 2019","Rated for 3+
Learn More","10,000+",77 total,PRADIP R GANGODA,4.5,4.2 and up,12M,1.2
Soul Seeker R,"Visit website
support@clegames.freshdesk.com
Privacy Policy
help@clegames.com",Clegames Inc.Role Playing,"₹70.00 - ₹8,300.00 per item",No Interactive Elements,"June 22, 2020","Rated for 7+
Mild Violence
Learn More","100,000+","8,266 total",Clegames Inc.,4.2,4.4 and up,57M,2.2.0
Q-See QR View,"Visit website
qseestore@gmail.com
Privacy Policy",DPSITools,Completely free,Users Interact,"September 12, 2019","Rated for 3+
Learn More","5,000+",50 total,DPSI,3.1,5.0 and up,25M,2.0.0(build003)
"C launcher:DIY themes,hide apps,wallpapers,2020","Visit website
clauncherteam@gmail.com
Privacy Policy",C Launcher Launcher TeamPersonalization,₹140.00 per item,No Interactive Elements,"June 11, 2020","Rated for 3+
Learn More","10,000,000+","944,657 total",C Launcher Launcher Team,4.5,4.1 and up,12M,3.11.37
CDSL Myeasi,"Visit website
helpdesk@cdslindia.com
Privacy Policy",CENTRAL DEPOSITORY SERVICES (INDIA) LIMITEDFinance,Completely free,No Interactive Elements,"March 16, 2020","Rated for 3+
Learn More","100,000+","1,090 total",CENTRAL DEPOSITORY SERVICES (INDIA) LIMITED,4.3,4.4 and up,3.7M,3.1.9
N Music(Material),"cjpvtltd@gmail.com
Privacy Policy
Miami, Florida 33172, US",MarbledMusic & Audio,Completely free,No Interactive Elements,"August 15, 2018","Rated for 3+
Learn More","100,000+","4,097 total",Marbled,4.4,4.1 and up,13M,1.0.3
"My Bakery Empire - Bake, Decorate & Serve Cakes","Visit website
support@tabtale.com
Privacy Policy
24 Raul Wallenberg, Ziv Towers, Building D, Tel Aviv, 6971924, Israel",Coco Play By TabTaleRole Playing,₹70.00 - ₹700.00 per item,In-Game Purchases,"May 8, 2020","Rated for 12+
Sexual Innuendo, Mild Swearing
Learn More","50,000,000+","353,182 total",Coco Play By TabTale,4.2,4.4 and up,48M,1.1.4
Learn C In Hindi,"Visit website
hungerforcode@gmail.com
Privacy Policy
LA, USA, AMERICA",CodehungerEducation,Completely free,No Interactive Elements,"February 9, 2020","Rated for 3+
Learn More","5,000+",86 total,Codehunger,4.1,4.0 and up,2.5M,4.5
Learn C Programming,"Visit website
contact@codetoinvent.com
Privacy Policy
Hyderabad India",CodeToInventEducation,Completely free,No Interactive Elements,"September 2, 2019","Rated for 3+
Learn More","10,000+",124 total,CodeToInvent,4.3,4.4 and up,7.8M,2.1
C Tutorials - Offline,"Visit website
rsaini.java@gmail.com
Privacy Policy",Dmr CodingsEducation,Completely free,No Interactive Elements,"February 22, 2019","Rated for 3+
Learn More","10,000+",39 total,Dmr Codings,4.5,4.2 and up,5.0M,1.0.3
Street Racing 3D,"help@ivymobile.com
Privacy Policy
Room1318-20, 13/F, Hollywood Plaza, 610 Nathan Road, Mongkok, Kowloon, Hong Kong",IvyRacing,"₹28.00 - ₹2,828.00 per item",Digital Purchases,"May 22, 2020","Rated for 3+
Learn More","100,000,000+","1,086,468 total",Ivy,4.3,4.1 and up,83M,5.8.0
BeautyPlus - Easy Photo Editor & Selfie Camera,"Visit website
beautyplus@us.meitu.com
Privacy Policy
Unit 8106B, 81/F, International Commerce Center, 1 Austin Road West, Kowloon, Hong Kong",Meitu (China) LimitedPhotography,"₹30.00 - ₹3,300.00 per item",In-App Purchases,"June 24, 2020","Rated for 3+
Learn More","100,000,000+","4,496,153 total",Meitu (China) Limited,4.4,4.4 and up,71M,7.1.011
Contacts+,"Visit website
info@contactsplus.com
Privacy Policy
1200 17th Street, Suite 13-103 Denver, CO 80202",Contacts Plus teamCommunication,"₹60.16 - ₹10,300.00 per item","Users Interact, Shares Info, Digital Purchases","June 15, 2020","Rated for 3+
Learn More","10,000,000+","203,157 total",Contacts Plus team,4.0,5.0 and up,13M,6.13.0
Wish - Shopping Made Fun,"Visit website
support@wish.com
Privacy Policy",Wish Inc.Shopping,Completely free,Users Interact,"June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","9,884,104 total",Wish Inc.,4.3,4.4 and up,22M,4.39.6
X Control Center IOS 13 - Control Panel Phone X,"lahung1799tu@gmail.com
Privacy Policy
X Team Pro, Hai Duong, Viet Nam",X Team ProPersonalization,Completely free,No Interactive Elements,"December 30, 2019","Rated for 3+
Learn More","50,000+",886 total,X Team Pro,4.0,4.3 and up,9.8M,2.1.11
C Programming with Turbo,bmnvcompany7860@gmail.com,VishalSharma7860Education,Completely free,No Interactive Elements,"February 3, 2020","Rated for 3+
Learn More","1,000+",0,VishalSharma7860,-1,4.1 and up,3.9M,1.7
All C Programs,"Visit website
cprograms4future@gmail.com
Privacy Policy",Mahidhar GuggilamEducation,Completely free,Users Interact,"December 30, 2018","Rated for 3+
Learn More","100,000+","5,915 total",Mahidhar Guggilam,4.5,4.1 and up,7.3M,2.5.2
CPU-Z,"Visit website
dev.cpuid@gmail.com
Privacy Policy
39 rue Joseph Jacquard 59240 Dunkerque France",CPUIDTools,₹105.94 per item,No Interactive Elements,"October 25, 2019","Rated for 3+
Learn More","50,000,000+","332,305 total",CPUID,4.4,2.2 and up,1.4M,1.33
C Interview Q & A,"sandurgitsolutions@gmail.com
Sandurg IT Solutiions, C/O Sandip Anandrao Thorat, Vitamata Nivas, AT Post, Nadashi, Tal. Karad, Dist. Satara, Maharashtra 415115.",SanDurg IT SolutionsEducation,Completely free,No Interactive Elements,"October 4, 2019","Rated for 3+
Learn More","5,000+",59 total,SanDurg IT Solutions,4.4,4.2 and up,5.8M,1.0.89
F-PACE Super Car: Speed Drifter,"contact.chaoticspin@gmail.com
Privacy Policy",Chaotic SpinSimulation,Completely free,No Interactive Elements,"August 6, 2018","Rated for 3+
Learn More","500,000+","1,324 total",Chaotic Spin,3.4,4.0 and up,57M,1.1
iMobile by ICICI Bank,"Visit website
mobileapps@icicibank.com
Privacy Policy",ICICI Bank Ltd.Finance,Completely free,No Interactive Elements,"June 18, 2020","Rated for 3+
Learn More","10,000,000+","2,126,933 total",ICICI Bank Ltd.,4.4,Varies with device,Varies with device,Varies with device
X-Hubsan,"Visit website
Hubsan2015@163.com
Privacy Policy","Shenzhen Hubsan technology Co.,Ltd.Personalization",Completely free,Users Interact,"June 16, 2020","Rated for 3+
Learn More","100,000+","1,920 total","Shenzhen Hubsan technology Co.,Ltd.",3.5,5.0 and up,64M,1.8.0
"B Hero - Find Blood Donors, Nearest BloodBanks","Visit website
myselfmathankumar@gmail.com
Privacy Policy
303, new sidhapudhur, coimbatore, Tamilnadu, India- 641001",CurveGraph Business SolutionsMedical,Completely free,"Users Interact, Shares Location","May 31, 2020","Rated for 3+
Learn More",500+,23 total,CurveGraph Business Solutions,4.9,5.0 and up,3.7M,1.8
"U - Meetings, Webinars & Messenger","Visit website
U_Android@cyberlink.com
Privacy Policy
15F., No.100, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",CyberLink.comCommunication,"₹420.00 - ₹2,950.00 per item","Users Interact, Shares Info, Shares Location, Digital Purchases","June 22, 2020","Rated for 3+
Learn More","500,000+","7,076 total",CyberLink.com,4.2,Varies with device,Varies with device,Varies with device
"PowerDirector - Video Editor App, Best Video Maker","Visit website
powerdirector_android@cyberlink.com
Privacy Policy
15F., No. 100, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",Cyberlink CorpVideo Players & Editors,"₹65.00 - ₹3,250.00 per item",Digital Purchases,"June 24, 2020","Rated for 3+
Learn More","50,000,000+","1,263,908 total",Cyberlink Corp,4.5,4.4 and up,59M,6.9.1
YouCam Makeup-Magic Selfie Cam & Virtual Makeovers,"Visit website
YouCamMakeup_android@perfectcorp.com
Privacy Policy
14F., No. 98, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",Perfect Mobile Corp.Photography,"₹65.00 - ₹6,700.00 per item","Users Interact, Shares Info, Shares Location","June 9, 2020","Rated for 3+
Learn More","100,000,000+","3,853,245 total",Perfect Mobile Corp.,4.6,Varies with device,Varies with device,Varies with device
YouCam Perfect - Best Selfie Camera & Photo Editor,"Visit website
YouCamPerfect_android@perfectcorp.com
Privacy Policy
14F., No. 98, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",Perfect Mobile Corp.Photography,"₹65.00 - ₹6,500.00 per item","Users Interact, Shares Info, Shares Location, Unrestricted Internet","June 18, 2020","Rated for 3+
Learn More","100,000,000+","1,903,781 total",Perfect Mobile Corp.,4.5,Varies with device,Varies with device,Varies with device
U Scanner – Free Mobile Photo to PDF Scanner,"Visit website
UScanner_Android@cyberlink.com
Privacy Policy
15F., No.100, Minquan Rd., Xindian Dist., New Taipei City 231, Taiwan (R.O.C.)",CyberLink.comProductivity,₹123.92 per item,Digital Purchases,"May 25, 2018","Rated for 3+
Learn More","500,000+","7,468 total",CyberLink.com,4.6,4.4 and up,21M,2.3.3
Experiment Z - Zombie,"Visit website
cyclopsgamestudio@gmail.com
Privacy Policy
9900 SPECTRUM DR AUSTIN, TX 78717-4555",Brain VaultAction,₹52.94 - ₹521.48 per item,"Users Interact, Digital Purchases","June 8, 2020","Rated for 12+
Moderate Violence, Horror
Learn More","10,000,000+","261,957 total",Brain Vault,3.4,4.1 and up,88M,2.14
Gun Shoot War Q,"Visit website
wanglei99999@gmail.com
Privacy Policy
wanglei99999@gmail.com",RAY3DArcade,Completely free,No Interactive Elements,"March 1, 2017","Rated for 12+
Moderate Violence
Learn More","1,000,000+","31,530 total",RAY3D,4.0,2.3 and up,20M,1.0.5
Dailymotion - the home for videos that matter,"Visit website
support-mobile@dailymotion.com
Privacy Policy
140 boulevard Malesherbes 75017 Paris, France",DailymotionEntertainment,Completely free,Users Interact,"June 22, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+","863,948 total",Dailymotion,4.3,5.0 and up,Varies with device,Varies with device
Daily Yoga - Yoga Fitness Plans,"Visit website
support@dailyyoga.com
Privacy Policy
22nd Floor, Rong Cheng Yun Gu Building B, No.57 Keji 3rd Road, Gaoxin District, Xi'an, Shaanxi China, 710075","Daily Yoga Culture Technology Co., LtdHealth & Fitness","₹50.00 - ₹26,000.00 per item",Digital Purchases,"June 22, 2020","Rated for 3+
Learn More","5,000,000+","110,700 total","Daily Yoga Culture Technology Co., Ltd",4.7,Varies with device,Varies with device,Varies with device
"DataCamp - Learn R, Python & SQL coding","Visit website
support+mobile@datacamp.com
Privacy Policy
DataCamp, Inc. 350 5th Avenue, Suite 7720 New York, NY 10118, USA",DataCampEducation,"₹750.00 - ₹5,000.00 per item",No Interactive Elements,"June 10, 2020","Rated for 3+
Learn More","500,000+","11,786 total",DataCamp,4.7,4.4 and up,9.3M,25.0.2
Dino T-Rex,"Visit website
deerslab@gmail.com
Privacy Policy",Interesting gamesArcade,Completely free,No Interactive Elements,"April 3, 2020","Rated for 3+
Learn More","10,000,000+","108,859 total",Interesting games,4.1,4.1 and up,3.3M,1.48
DiskDigger photo recovery,"Visit website
info@defianttech.com
Privacy Policy
P.O. Box 550066 North Waltham, MA 02455","Defiant Technologies, LLCTools",Completely free,No Interactive Elements,"November 10, 2019","Rated for 3+
Learn More","100,000,000+","357,610 total","Defiant Technologies, LLC",3.9,4.0 and up,2.3M,1.0-2019-11-10
นิยาย Dek-D - คลังนิยายออนไลน์ที่ใหญ่ที่สุดในไทย,"Visit website
report.novel.android@dek-d.com
Privacy Policy
Dek-D Interactive Co.,ltd. (Headquarter) 152 Chartered Square bld., Floor 29, North Sathorn rd., Silom, Bangrak, Bangkok 10500","Dek-D Interactive Co., ltdBooks & Reference","₹58.94 - ₹2,750.00 per item","Users Interact, Digital Purchases","June 8, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000+","78,543 total","Dek-D Interactive Co., ltd",4.4,4.1 and up,11M,2.3.39
Name creator Free F - Symbols and letters,"Visit website
apps.devf@gmail.com
Privacy Policy",💎💎AppsF💎💎Entertainment,Completely free,No Interactive Elements,"April 14, 2020","Rated for 3+
Learn More","5,000,000+","25,613 total",💎💎AppsF💎💎,4.4,4.1 and up,3.5M,2.7
Kid-E-Cats: Three Cats on a Picnic! Kitty Games!,"Visit website
support@devgameou.com
Privacy Policy
Pae tn 25-47, Tallinn city, Harju county, 11414",DEVGAME KIDS 3+ gamesRole PlayingPretend Play,₹180.00 - ₹920.00 per item,In-Game Purchases,"March 17, 2020","Rated for 3+
Learn More","5,000,000+","53,145 total",DEVGAME KIDS 3+ games,4.1,5.0 and up,41M,2.2.2
J Fla Music 2020,"Visit website
deendev2019@gmail.com
Privacy Policy",iTech DeveloperMusic & Audio,Completely free,No Interactive Elements,"February 13, 2020","Rated for 12+
Mild Swearing
Learn More","1,000+",68 total,iTech Developer,4.7,4.1 and up,22M,1.0
J Balvin AMARILLO,"Visit website
sugiartosigit501@gmail.com",dewi quMusic & Audio,Completely free,No Interactive Elements,"June 12, 2020","Rated for 16+
Strong Language
Learn More","1,000+",0,dewi qu,-1,4.1 and up,5.1M,1.0
"Zapya - File Transfer, Sharing Music Playlist","Visit website
release@dewmobile.net
Privacy Policy","Dewmobile, Inc.Tools",₹65.00 per item,Users Interact,"June 5, 2020","Rated for 12+
Sex
Learn More","50,000,000+","571,015 total","Dewmobile, Inc.",4.5,4.1 and up,14M,5.9.2 (US)
C Programming Tutorials,"g.prajapat96@gmail.com
Privacy Policy",DexterousDevelopersEducation,Completely free,No Interactive Elements,"June 9, 2020","Rated for 3+
Learn More","10,000+",135 total,DexterousDevelopers,4.2,4.0.3 and up,6.5M,1.6.9
C Tutorials in हिन्दी,"dexterousdevelopers07@gmail.com
Privacy Policy",DexterousDevelopersEducation,Completely free,No Interactive Elements,"June 9, 2020","Rated for 3+
Learn More","5,000+",33 total,DexterousDevelopers,4.5,4.0.3 and up,5.4M,1.3
DigiLocker - a simple and secure document wallet,"Visit website
support@digitallocker.gov.in
Privacy Policy
Ministry of Electronics & Information Technology (MeitY), Government of India, Electronics Niketan, 6, CGO Complex, Lodhi Road, New Delhi - 110003","MeitY, Government of IndiaProductivity",Completely free,Shares Info,"June 19, 2020","Rated for 3+
Learn More","10,000,000+","129,400 total","MeitY, Government of India",4.3,5.0 and up,68M,6.2.0
e Digital Service Point,"Visit website
support@digitalseva.net
Privacy Policy
Rahuri, Ahmadnagar, Maharashtra.",Roshiya India Private LimitedFinance,Completely free,No Interactive Elements,"June 2, 2020","Rated for 3+
Learn More","1,000+",14 total,Roshiya India Private Limited,3.1,5.0 and up,12M,1.8
Z War-Zombie Modern Combat,"Visit website
mountain.lion1982@gmail.com
Privacy Policy
RM 1701(228) 17/F HENAN BLDG NO 90 JAFFE RD WANCHAI HongKong",Mountain LionStrategy,"₹85.00 - ₹8,500.00 per item","Users Interact, Digital Purchases","February 19, 2019","Rated for 12+
Moderate Violence
Learn More","5,000,000+","62,501 total",Mountain Lion,4.2,4.1 and up,73M,1.71
"Discord - Friends, Communities, & Gaming","Visit website
support@discord.com
Privacy Policy",Discord Inc.Communication,Completely free,Users Interact,"June 18, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","1,547,293 total",Discord Inc.,4.7,5.0 and up,68M,26.1
"Discovery Plus: TV Shows, Shorts, Fun Learning","Visit website
hello@discovery.com
Privacy Policy
5th Floor, WeWork BKC, C-20 G Block, Bandra Kurla Complex, Bandra(East) Mumbai - 400051 India",Discovery Communication IndiaEntertainment,₹99.00 - ₹299.00 per item,No Interactive Elements,"May 30, 2020","Rated for 16+
Strong Violence
Learn More","1,000,000+","15,005 total",Discovery Communication India,4.5,5.1 and up,7.2M,1.1.1
D Letter Status Video - D Name Video Status,"shanikumarsagar97@gmail.com
Privacy Policy",Sagar ZoneArt & Design,Completely free,No Interactive Elements,"May 29, 2020","Rated for 3+
Learn More","1,000+",6 total,Sagar Zone,3.8,5.0 and up,5.7M,1.3
D-Link QRS Mobile,"Visit website
SP_APP@dlinkcorp.com
Privacy Policy",D-Link SystemsProductivity,Completely free,No Interactive Elements,"April 16, 2020","Rated for 3+
Learn More","1,000,000+","7,010 total",D-Link Systems,2.4,4.3 and up,4.4M,version 1.5.2.0 b01
AppLock,"Visit website
support@domobile.com
Privacy Policy
19H Maxgrand Plaza, No.3 Tai Yau Street, San Po Kong, Kowloon Hong Kong",DoMobile LabTools,"₹170.00 - ₹1,000.00 per item",No Interactive Elements,"June 12, 2020","Rated for 3+
Learn More","50,000,000+","494,303 total",DoMobile Lab,4.2,4.0 and up,11M,3.1.10
Status Saver - Downloader for Whatsapp,"luckajay93@gmail.com
Privacy Policy
Gujarat",Shree Ganesha LabsProductivity,₹20.00 per item,"Users Interact, In-App Purchases","June 24, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+","188,577 total",Shree Ganesha Labs,4.5,4.1 and up,4.5M,1.77
Doodle | Magic Joy,"eyewind.draw@hotmail.com
Privacy Policy
room2305,Chun Fu House,Tin Fu Court Tin Shui Wai,NT,Hong kong Tin Shui Wai New Territories HK",DrawAPPCasualCreativity,₹70.00 per item,No Interactive Elements,"March 9, 2020","Rated for 3+
Learn More","10,000,000+","141,983 total",DrawAPP,4.2,4.1 and up,9.5M,1.0.14
WAMR - Recover deleted messages & status download,"kurtidrilon.dev+wamr@gmail.com
Privacy Policy
Via Vittorio Bachelet 37 Figline e Incisa Valdarno, 50063 Florence Italy",drilens appsCommunication,₹190.00 per item,No Interactive Elements,"January 7, 2020","Rated for 3+
Learn More","10,000,000+","324,139 total",drilens apps,4.5,5.0 and up,12M,0.10.2
Drink Your Phone - iDrink Drinking Games (joke),"SunTingqwe@gmail.com
Privacy Policy","ideaFun - Relaxing Coloring Book, Free Color GamesEntertainment",Completely free,No Interactive Elements,"September 11, 2019","Rated for 3+
Learn More","10,000,000+","158,438 total","ideaFun - Relaxing Coloring Book, Free Color Games",4.6,4.4 and up,16M,6.0.8
Defender Z,"Visit website
support@droidhen.com
Privacy Policy
3 - 27 Canton Road, Tsim Sha Tsui, HK, 九龍 Hong Kong",DroidHenAction,"₹170.00 - ₹8,500.00 per item",Digital Purchases,"June 26, 2019","Rated for 12+
Horror
Learn More","100,000+","6,682 total",DroidHen,4.3,4.1 and up,52M,1.1.21
"Dropbox: Cloud Storage to Backup, Sync, File Share","Visit website
android-feedback@dropbox.com
Privacy Policy
Dropbox, Inc. 1800 Owens St San Francisco, CA 94158","Dropbox, Inc.Productivity",₹599.00 - ₹990.00 per item,"Users Interact, Digital Purchases","June 23, 2020","Rated for 3+
Learn More","500,000,000+","2,022,472 total","Dropbox, Inc.",4.2,6.0 and up,102M,194.2.6
Garena Free Fire: Rampage,"Visit website
freefire@garena.com
Privacy Policy
1 FUSIONOPOLIS PLACE, 17-10, GALAXIS, Singapore",GARENA INTERNATIONAL I PRIVATE LIMITEDAction,"₹10.00 - ₹9,000.00 per item","Users Interact, In-Game Purchases","June 16, 2020","Rated for 12+
Moderate Violence
Learn More","500,000,000+","53,398,929 total",GARENA INTERNATIONAL I PRIVATE LIMITED,4.1,4.0.3 and up,42M,1.49.0
Duolingo: Learn English Free,"Visit website
android@duolingo.com
Privacy Policy
Duolingo 5900 Penn Avenue Pittsburgh PA 15206",DuolingoEducation,"₹90.00 - ₹10,560.00 per item",Users Interact,"June 23, 2020","Rated for 3+
Learn More","100,000,000+","9,450,815 total",Duolingo,4.7,Varies with device,Varies with device,Varies with device
Slendrina X,"dvloper.apps@gmail.com
Privacy Policy
*******vägen",DVloperArcade,Completely free,No Interactive Elements,"June 8, 2020","Rated for 12+
Horror
Learn More","1,000,000+","30,634 total",DVloper,4.2,4.1 and up,57M,1.0.3
Cook'n Recipe App,"Visit website
sales@dvo.com
Privacy Policy
620 Windsor Ct. Alpine, UT 84004",DVO EnterprisesLifestyle,"₹80.00 - ₹1,300.00 per item",No Interactive Elements,"June 22, 2020","Rated for 3+
Learn More","50,000+",978 total,DVO Enterprises,4.6,4.4 and up,25M,4.5.2
R WORLD,"Visit website
info@dynamicsignal.com
Privacy Policy","Dynamic Signal, Inc.Business",Completely free,"Users Interact, Shares Info","February 29, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","5,000+",18 total,"Dynamic Signal, Inc.",3.9,Varies with device,Varies with device,Varies with device
Mobile C [ C/C++ Compiler ],"Visit website
dztall@hanmail.net
333, Wolsong-gil, Seo-myeon, Chuncheon-si, Gangwon-do, Korea",Lee Jeong SeopEducation,Completely free,No Interactive Elements,"August 28, 2018","Rated for 3+
Learn More","500,000+","7,190 total",Lee Jeong Seop,4.1,4.0.3 and up,78M,2.5.2
E-Ganna,"admin@amitysoftware.com
Privacy Policy
B-16, Sector 63 Noida India",Amity Software Systems LimitedBusiness,Completely free,No Interactive Elements,"March 3, 2020","Rated for 3+
Learn More","1,000,000+","16,748 total",Amity Software Systems Limited,4.3,4.1 and up,4.9M,2.9
Real Racing 3,"Visit website
help@eamobile.com
Privacy Policy
Geneva, Switzerland",ELECTRONIC ARTSRacing,"₹79.00 - ₹7,900.00 per item",Digital Purchases,"June 8, 2020","Rated for 3+
Learn More","100,000,000+","6,425,203 total",ELECTRONIC ARTS,4.4,4.1 and up,43M,8.5.0
Dev Reg V,"Visit website
vinoth@eastcs.com",East Consultancy Services Private LimitedBusiness,Completely free,No Interactive Elements,"June 23, 2017","Rated for 3+
Learn More","100,000+",273 total,East Consultancy Services Private Limited,4.1,4.4 and up,8.6M,1.0.17062301
C Programming App,"Visit website
myeasysoftwares@gmail.com
Privacy Policy",Anil SinghaniaEducation,Completely free,No Interactive Elements,"May 6, 2019","Rated for 3+
Learn More","50,000+","1,796 total",Anil Singhania,4.6,5.0 and up,5.0M,7.0
VClip - Whatsapp Status & Royal Pass PBG,"VClipapp@gmail.com
Privacy Policy",Clip status DP & video edit studioSocial,Completely free,Users Interact,"June 18, 2020","Rated for 18+
Learn More","10,000,000+","287,841 total",Clip status DP & video edit studio,4.3,5.0 and up,18M,1.16.6.11606
J Chemistry,"Visit website
jchemistry001@gmail.com
Privacy Policy",J ChemistryEducation,Completely free,"Users Interact, In-App Purchases","March 3, 2020","Rated for 3+
Learn More","10,000+",748 total,J Chemistry,4.5,4.4 and up,7.5M,0.1.613
E-Vidhyalay,"dineshgadhavi15@gmail.com
Privacy Policy
216, GPSC Online, Shalin Galleria, G-1 Circle, Gandhinagar",GPSC OnlineEducation,Completely free,No Interactive Elements,"June 19, 2020","Rated for 3+
Learn More","10,000+",731 total,GPSC Online,3.9,4.4 and up,8.8M,3.0.6
RBI Grade B Phase 1 Exam: Online Mock Tests,"Visit website
developer@edugorilla.com
Privacy Policy
EduGorilla Community Pvt. Ltd 12/651, First Floor, Opposite Arvindo Park, Indira Nagar, Lucknow Pin Code- 226016",EduGorilla Testseries 2Education,₹99.00 - ₹699.00 per item,In-App Purchases,"May 12, 2020","Rated for 3+
Learn More","1,000+",10 total,EduGorilla Testseries 2,4.3,4.4W and up,12M,01.01.129
"B.Com Notes, Videos- All Bcom Regular Subjects App","Visit website
kunaalsatija@gmail.com
Privacy Policy",EduRevEducation,Completely free,"Users Interact, In-App Purchases","June 18, 2020","Rated for 3+
Learn More","100,000+","1,370 total",EduRev,3.8,4.4 and up,10M,2.8.6_bcom
BTS J-Hope Wallpaper - Jhope Wallpapers Kpop HD 4K,"Visit website
cansudogan3452@gmail.com
Privacy Policy",CnsdgnPersonalization,Completely free,No Interactive Elements,"February 7, 2020","Rated for 3+
Learn More","1,000+",6 total,Cnsdgn,4.3,4.4 and up,5.1M,1.0
CRISIS: S,"hkefun@gmail.com
Privacy Policy
Address：Flat/Rm.1 3/F ASSUN PACIFIC CENTRE NO.41 TSUN YIP STREET KWUN TONG KL Hong Kong Email:hkefun@gmail.com",EFUN COMPANY LIMITEDRole Playing,"₹85.00 - ₹8,700.00 per item",Users Interact,"June 24, 2020","Rated for 7+
Mild Violence
Learn More","1,000,000+","33,968 total",EFUN COMPANY LIMITED,4.4,4.4 and up,81M,1.1.3
Empire Z: Endless War,"Visit website
contact@ember-entertainment.com
Privacy Policy
1501 4th Ave Suite 2350 Seattle WA 98101",Ember EntertainmentStrategy,"₹320.00 - ₹6,800.00 per item","Users Interact, Digital Purchases","July 19, 2019","Rated for 12+
Moderate Violence, Horror, Gambling
Learn More","5,000,000+","367,031 total",Ember Entertainment,3.9,4.1 and up,78M,2.3.1
Q Verse,"Visit website
help@qwunder.com
Privacy Policy
1240 Rosecrans, Ste 120 Manhattan Beach, CA 90266",EQtainmentEducational,Completely free,No Interactive Elements,"June 18, 2018","Rated for 3+
Learn More",100+,0,EQtainment,-1,4.1 and up,45M,1.0
Q Wunder,"Visit website
help@qwunder.com
Privacy Policy
1240 Rosecrans, Ste 120 Manhattan Beach, CA 90266",EQtainmentEducationEducation,"₹520.00 - ₹4,350.00 per item",No Interactive Elements,"June 20, 2019","Rated for 3+
Learn More","10,000+",169 total,EQtainment,3.7,4.1 and up,43M,2.0.18
"G-Maxx Money - Recharges, Bills ,Online Shopping","gmaxxmoney@gmail.com
Privacy Policy",Gmaxx MoneyFinance,Completely free,No Interactive Elements,"June 13, 2020","Rated for 3+
Learn More","10,000+",345 total,Gmaxx Money,4.4,5.0 and up,14M,1.0.75
F table,"Visit website
fdistributionapp@gmail.com
Privacy Policy
feo2 Danışmanlık ve Yazılım Çözümleri İstanbul / Türkiye",feo2Education,Completely free,No Interactive Elements,"May 27, 2020","Rated for 3+
Learn More","10,000+",36 total,feo2,4.5,Varies with device,Varies with device,Varies with device
ESPN,"Visit website
espnmobilefeedback@espncustomercare.com
Privacy Policy
ESPN Plaza Bristol, CT 06010",ESPN IncSports,"₹65.00 - ₹6,700.00 per item",In-App Purchases,"June 25, 2020","Rated for 3+
Learn More","50,000,000+","602,449 total",ESPN Inc,3.7,5.0 and up,Varies with device,Varies with device
"Dailyhunt (Newshunt)- News, Videos, Cricket","Visit website
YourFriends@dailyhunt.in
Privacy Policy",Dailyhunt (Newshunt)News & Magazines,Completely free,Users Interact,"May 30, 2020","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+","1,248,705 total",Dailyhunt (Newshunt),4.2,Varies with device,Varies with device,Varies with device
COMBANK Q Plus Consumer,"Visit website
qplus@combank.net
Privacy Policy
Commercial House, No 21, Sir Razik Fareed Mawatha, P.O. Box 856 Colombo 1, Sri Lanka.",Commercial Bank of Ceylon PLCFinance,Completely free,In-App Purchases,"May 26, 2020","Rated for 3+
Learn More","10,000+",75 total,Commercial Bank of Ceylon PLC,3.5,4.4 and up,21M,2.1.2
Evernote - Notes Organizer & Daily Planner,"Visit website
appstore-evernote-android@evernote.com
Privacy Policy
305 Walnut Street Redwood City, CA 94063",Evernote CorporationProductivity,"₹59.82 - ₹6,200.00 per item","Users Interact, Digital Purchases","June 11, 2020","Rated for 3+
Learn More","100,000,000+","1,561,286 total",Evernote Corporation,4.2,Varies with device,Varies with device,Varies with device
J Balvin Songs Offline 2020 HQ ( 50 Songs ),"Visit website
muzikseninle61@gmail.com
Privacy Policy",extremmobileappMusic & Audio,Completely free,No Interactive Elements,"March 2, 2020","Rated for 16+
Strong Language
Learn More","1,000+",16 total,extremmobileapp,4.9,4.0.3 and up,98M,1.0
