App Name,Developer,Genre,In-app Purchases,Interactive Elements,Last Update,Minimum Age,Number of Installations,Number of Reviews,Offered By,Rating,Required Android Version,Size,Version,Min Price,Max Price,Age,Month,Day,Year,Min Downloads,Minimum Android Version,Interactive Element Score
G-Net MeetNow,"ithelp@quanshi.com
Privacy Policy",Tools,$0 - $0 per item,Users Interact,"['May', '22', '', '2020']","Rated for 3+
Learn More","1,000+",39,"G-Net Cloud Service Co., Ltd.",4.5,Varies with device,-1.0,-1.0,0.0,0.0,3,5,22,2020,1000,-1,1
Kids Cars Games! Build a car and truck wash!,"Visit website
toplinesolutionsltd@gmail.com
Privacy Policy
195 PEARL'S HILL TERRACE, #03 - 34 SINGAPORE 168976",Education,₹60.00 - ₹650.00 per item,Digital Purchases,"['June', '25', '', '2020']","Rated for 3+
Learn More","1,000,000+",2191,GoKids!,3.7,4.1 and up,30.0,0.0,60.0,650.0,3,6,25,2020,1000000,4.1,2
"Truck games for kids - build a house, car wash","Visit website
toplinesolutionsltd@gmail.com
Privacy Policy
195 PEARL'S HILL TERRACE, #03 - 34 SINGAPORE 168976",Education,"₹10.00 - ₹2,250.00 per item",Digital Purchases,"['June', '25', '', '2020']","Rated for 3+
Learn More","50,000,000+",72588,GoKids!,4.1,4.1 and up,76.0,3.0,10.0,2250.0,3,6,25,2020,50000000,4.1,2
iSwipe Phone X,"nguyenlan1909@gmail.com
Privacy Policy",Tools,$0 - $0 per item,No Interactive Elements,"['December', '7', '', '2017']","Rated for 3+
Learn More","5,000,000+",245848,ITTech,4.5,4.1 and up,6.3,1.0,0.0,0.0,3,12,7,2017,5000000,4.1,0
Google Assistant Go,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '27', '', '2020']","Rated for 3+
Learn More","100,000,000+",109036,Google LLC,4.1,8.0 and up,-1.0,-1.0,0.0,0.0,3,6,27,2020,100000000,8.0,0
Google Drive,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Productivity,"₹65.00 - ₹69,600.00 per item","Users Interact, Digital Purchases","['June', '24', '', '2020']","Rated for 3+
Learn More","5,000,000,000+",5792696,Google LLC,4.3,Varies with device,-1.0,-1.0,65.0,69600.0,3,6,24,2020,5000000000,-1,3
Google Chat,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Business,$0 - $0 per item,Users Interact,"['June', '25', '', '2020']","Rated for 3+
Learn More","1,000,000+",7675,Google LLC,3.5,5.0 and up,12.0,2020.0,0.0,0.0,3,6,25,2020,1000000,5.0,1
Google Fit: Health and Activity Tracking,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Health & Fitness,$0 - $0 per item,No Interactive Elements,"['June', '25', '', '2020']","Rated for 3+
Learn More","50,000,000+",370701,Google LLC,3.9,Varies with device,-1.0,-1.0,0.0,0.0,3,6,25,2020,50000000,-1,0
"Google Assistant - Get things done, hands-free","Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Productivity,$0 - $0 per item,No Interactive Elements,"['March', '9', '', '2018']","Rated for 3+
Learn More","50,000,000+",234841,Google LLC,4.1,5.0 and up,1.3,0.0,0.0,0.0,3,3,9,2018,50000000,5.0,0
Google Indic Keyboard,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['April', '19', '', '2018']","Rated for 3+
Learn More","100,000,000+",544840,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,3,4,19,2018,100000000,-1,0
"Google Maps Go - Directions, Traffic & Transit","Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Travel & Local,$0 - $0 per item,Shares Location,"['June', '17', '', '2020']","Rated for 3+
Learn More","100,000,000+",80024,Google LLC,4.2,4.4 and up,116.0,137.0,0.0,0.0,3,6,17,2020,100000000,4.4,4
Chromecast built-in,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '2', '', '2020']","Rated for 3+
Learn More","10,000,000+",374,Google LLC,1.8,5.0 and up,-1.0,1.0,0.0,0.0,3,6,2,2020,10000000,5.0,0
Files by Google: Clean up space on your phone,"Visit website
files-feedback@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,Users Interact,"['June', '25', '', '2020']","Rated for 3+
Learn More","500,000,000+",2988334,Google LLC,4.6,5.0 and up,11.0,1.0,0.0,0.0,3,6,25,2020,500000000,5.0,1
Google Pay (Tez) - a simple and secure payment app,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Finance,$0 - $0 per item,No Interactive Elements,"['June', '18', '', '2020']","Rated for 3+
Learn More","100,000,000+",4653847,Google LLC,4.3,5.0 and up,14.0,-1.0,0.0,0.0,3,6,18,2020,100000000,5.0,0
Google Photos,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Photography,$0 - $0 per item,No Interactive Elements,"['June', '26', '', '2020']","Rated for 3+
Learn More","1,000,000,000+",26442494,Google LLC,4.5,Varies with device,-1.0,-1.0,0.0,0.0,3,6,26,2020,1000000000,-1,0
Google+ for G Suite,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Social,$0 - $0 per item,"Users Interact, Shares Location","['May', '19', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000,000+",6232766,Google LLC,4.1,5.0 and up,-1.0,11.0,0.0,0.0,12,5,19,2020,1000000000,5.0,5
"Google Go: A lighter, faster way to search","Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,Unrestricted Internet,"['June', '18', '', '2020']","Rated for 3+
Learn More","100,000,000+",375012,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,3,6,18,2020,100000000,-1,5
Google Duo - High Quality Video Calls,"apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Communication,$0 - $0 per item,Users Interact,"['June', '24', '', '2020']","Rated for 3+
Learn More","1,000,000,000+",5864853,Google LLC,4.5,Varies with device,-1.0,-1.0,0.0,0.0,3,6,24,2020,1000000000,-1,1
Google Translate,"Visit website
translate-mobile-support@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '5', '', '2020']","Rated for 3+
Learn More","500,000,000+",7177042,Google LLC,4.5,Varies with device,-1.0,-1.0,0.0,0.0,3,6,5,2020,500000000,-1,0
YouTube Studio,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Video Players & Editors,$0 - $0 per item,Users Interact,"['June', '11', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+",872476,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,12,6,11,2020,50000000,-1,1
YouTube Kids,"Visit website
ytkids-support@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Music & Video,$0 - $0 per item,Users Interact,"['June', '25', '', '2020']","Rated for 3+
Learn More","100,000,000+",1110595,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,3,6,25,2020,100000000,-1,1
YouTube Music - Stream Songs & Music Videos,"Visit website
ytmusic-support@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Music & Audio,$0 - $0 per item,"Users Interact, Digital Purchases","['June', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+",1268927,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,12,6,26,2020,100000000,-1,3
Calculator,"Visit website
android-calculator-feedback@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['October', '7', '', '2019']","Rated for 3+
Learn More","500,000,000+",192735,Google LLC,4.4,6.0 and up,2.6,7.0,0.0,0.0,3,10,7,2019,500000000,6.0,0
Clock,"Visit website
android-clock-feedback@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '9', '', '2020']","Rated for 3+
Learn More","500,000,000+",292406,Google LLC,4.2,Varies with device,-1.0,-1.0,0.0,0.0,3,6,9,2020,500000000,-1,0
Gmail,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Communication,$0 - $0 per item,Users Interact,"['June', '22', '', '2020']","Rated for 3+
Learn More","5,000,000,000+",7366301,Google LLC,4.4,Varies with device,-1.0,-1.0,0.0,0.0,3,6,22,2020,5000000000,-1,1
Gmail Go,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Communication,$0 - $0 per item,Users Interact,"['June', '6', '', '2018']","Rated for 3+
Learn More","100,000,000+",34134,Google LLC,4.4,Any version,9.9,8.0,0.0,0.0,3,6,6,2018,100000000,0,1
Google,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,Unrestricted Internet,"['June', '26', '', '2020']","Rated for 3+
Learn More","5,000,000,000+",15290540,Google LLC,4.3,Varies with device,-1.0,-1.0,0.0,0.0,3,6,26,2020,5000000000,-1,5
Gboard - the Google Keyboard,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '25', '', '2020']","Rated for 3+
Learn More","1,000,000,000+",5822747,Google LLC,4.5,Varies with device,-1.0,-1.0,0.0,0.0,3,6,25,2020,1000000000,-1,0
Google app for Android TV,"Visit website
android-app-release@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,Unrestricted Internet,"['June', '17', '', '2020']","Rated for 3+
Learn More","10,000,000+",100,Google LLC,2.7,6.0 and up,-1.0,-1.0,0.0,0.0,3,6,17,2020,10000000,6.0,5
Google Play Music,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Music & Audio,$0 - $0 per item,In-App Purchases,"['May', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","5,000,000,000+",4751111,Google LLC,4.2,Varies with device,-1.0,-1.0,0.0,0.0,12,5,26,2020,5000000000,-1,3
Google Play Games,"Visit website
googleplay-support@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Entertainment,$0 - $0 per item,"Users Interact, Digital Purchases","['May', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000,000+",10881654,Google LLC,4.4,Varies with device,-1.0,-1.0,0.0,0.0,12,5,26,2020,1000000000,-1,3
Hangouts,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Communication,$0 - $0 per item,"Users Interact, Shares Location","['June', '11', '', '2020']","Rated for 3+
Learn More","1,000,000,000+",4621827,Google LLC,4.1,Varies with device,-1.0,-1.0,0.0,0.0,3,6,11,2020,1000000000,-1,5
Live Channels,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Entertainment,$0 - $0 per item,No Interactive Elements,"['June', '8', '', '2020']","Rated for 3+
Learn More","5,000,000+",254,Google LLC,2.5,6.0 and up,5.0,1.0,0.0,0.0,3,6,8,2020,5000000,6.0,0
Google Play Movies & TV,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Video Players & Editors,$0 - $0 per item,Digital Purchases,"['May', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","5,000,000,000+",1428241,Google LLC,4.0,Varies with device,-1.0,-1.0,0.0,0.0,12,5,26,2020,5000000000,-1,2
Android System WebView,"Visit website
apps-help@google.com
1600 Amphitheatre Parkway, Mountain View 94043",Tools,$0 - $0 per item,No Interactive Elements,"['June', '17', '', '2020']","Rated for 3+
Learn More","1,000,000,000+",3338754,Google LLC,4.3,Varies with device,-1.0,83.0,0.0,0.0,3,6,17,2020,1000000000,-1,0
YouTube,"Visit website
ytandroid-support@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Video Players & Editors,$0 - $0 per item,"Users Interact, Digital Purchases","['June', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","5,000,000,000+",75345388,Google LLC,4.2,Varies with device,-1.0,-1.0,0.0,0.0,12,6,26,2020,5000000000,-1,3
YouTube for Android TV,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Entertainment,$0 - $0 per item,Users Interact,"['June', '15', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","50,000,000+",872,Google LLC,1.9,5.0 and up,-1.0,2.0,0.0,0.0,12,6,15,2020,50000000,5.0,1
Google Earth,"Visit website
apps-help@google.com
Privacy Policy
1600 Amphitheatre Parkway, Mountain View 94043",Travel & Local,$0 - $0 per item,Users Interact,"['June', '18', '', '2020']","Rated for 3+
Learn More","100,000,000+",2604388,Google LLC,4.4,Varies with device,-1.0,-1.0,0.0,0.0,3,6,18,2020,100000000,-1,1
"ZEE5 - Latest Movies, Originals & TV Shows","Visit website
playstore@zee5.com
Privacy Policy
Z5X Global Zee Tower, office 202 Dubai Media City, Dubai",Entertainment,"₹10.00 - ₹1,400.00 per item",In-App Purchases,"['June', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","100,000,000+",784795,Z5X Global FZ LLC,3.0,Varies with device,-1.0,-1.0,10.0,1400.0,12,6,26,2020,100000000,-1,3
Grindr - Gay chat,"Visit website
help-android@grindr.com
Privacy Policy
750 N. San Vicente Blvd West Hollywood CA 90069 USA",Social,"₹29.99 - ₹19,800.00 per item","Users Interact, Shares Location, Digital Purchases","['June', '22', '', '2020']","Rated for 18+
Learn More","10,000,000+",451111,Grindr LLC,3.5,4.4 and up,32.0,6.0,29.99,19800.0,18,6,22,2020,10000000,4.4,7
Grofers - Order Grocery Online,"Visit website
info@grofers.com
Privacy Policy",Shopping,$0 - $0 per item,No Interactive Elements,"['June', '21', '', '2020']","Rated for 3+
Learn More","10,000,000+",454487,Grofers India Pvt Ltd,4.1,4.1 and up,14.0,5.0,0.0,0.0,3,6,21,2020,10000000,4.1,0
Real Gangster Crime,"Visit website
feedback@naxeex.com
Privacy Policy
Arbuzova 1/1 b4 630117 Novosibirsk, Russia",Action,"₹20.00 - ₹9,500.00 per item",No Interactive Elements,"['May', '5', '', '2020']","Rated for 16+
Strong Violence
Learn More","100,000,000+",719859,Naxeex Studio,4.1,4.1 and up,99.0,5.0,20.0,9500.0,16,5,5,2020,100000000,4.1,0
G-NetSignal,"Visit website
info@gyokovsolutions.com
Bulgaria",Tools,$0 - $0 per item,No Interactive Elements,"['September', '30', '', '2019']","Rated for 3+
Learn More","10,000+",40,GyokovSolutions,4.2,4.4 and up,1.6,2.0,0.0,0.0,3,9,30,2019,10000,4.4,0
G-NetTrack Lite,"Visit website
info@gyokovsolutions.com
Privacy Policy
Bulgaria",Tools,$0 - $0 per item,Shares Location,"['June', '18', '', '2020']","Rated for 3+
Learn More","1,000,000+",3089,GyokovSolutions,4.3,4.0 and up,1.9,10.0,0.0,0.0,3,6,18,2020,1000000,4.0,4
Fruit Ninja®,"Visit website
fruitninja@halfbrick.com
Privacy Policy
23 Musgrave Road, Red Hill, Queensland 4059, Australia",Arcade,"₹29.00 - ₹3,261.41 per item",Digital Purchases,"['June', '8', '', '2020']","Rated for 3+
Learn More","100,000,000+",5266273,Halfbrick Studios,4.3,4.1 and up,-1.0,2.0,29.0,3261.41,3,6,8,2020,100000000,4.1,2
K-pop Artist - Korean Music Artist Music Video BTS,"Visit website
kokolplp0901@gmail.com
Privacy Policy",Video Players & Editors,$0 - $0 per item,No Interactive Elements,"['June', '22', '', '2020']","Rated for 3+
Learn More","5,000+",26,Richcompany,4.5,5.0 and up,17.0,1.0,0.0,0.0,3,6,22,2020,5000,5.0,0
Background Eraser,"Visit website
support_android@handycloset.com
Privacy Policy",Photography,$0 - $0 per item,No Interactive Elements,"['April', '30', '', '2020']","Rated for 3+
Learn More","50,000,000+",573720,handyCloset Inc.,4.6,Varies with device,3.3,-1.0,0.0,0.0,3,4,30,2020,50000000,-1,0
Simran K Official App,"saurabhk86@gmail.com
Privacy Policy
91springboard 74 Techno Park, 74/II, “C” Cross Road, Opp Gate No 2, MIDC 400 093, Seepz, Andheri East, Mumbai, Maharashtra",Entertainment,"₹480.00 - ₹24,500.00 per item","Users Interact, In-App Purchases","['June', '12', '', '2020']","Rated for 18+
Sex
Learn More","50,000+",368,Simran K,2.0,5.0 and up,48.0,1.0,480.0,24500.0,18,6,12,2020,50000,5.0,4
The h Club,"Visit website
support@hclub.com
Privacy Policy",Social,$0 - $0 per item,No Interactive Elements,"['May', '7', '', '2020']","Rated for 3+
Learn More","1,000+",5,Creative27,5.0,4.4 and up,15.0,1.0,0.0,0.0,3,5,7,2020,1000,4.4,0
HD Video Player For All Format Music Player,"Visit website
Mahammajeed689@gmail.com
Privacy Policy",Video Players & Editors,$0 - $0 per item,No Interactive Elements,"['March', '2', '', '2019']","Rated for 3+
Learn More","1,000,000+",15502,Wingbling,4.7,4.2 and up,4.5,1.0,0.0,0.0,3,3,2,2019,1000000,4.2,0
K-POP Tube - Popular & Recent,"8helge8@gmail.com
Privacy Policy
Nyzhn'odniprovs'ka St. Zaporizhzhia, Zaporiz'ka oblast, 69091",Music & Audio,$0 - $0 per item,No Interactive Elements,"['January', '7', '', '2020']","Rated for 12+
Sexual Innuendo
Learn More","500,000+",4426,Helge Apps,4.4,4.1 and up,3.6,1.0,0.0,0.0,12,1,7,2020,500000,4.1,0
Hello Play : Real-Time Multiplayer Indian games,"Visit website
helloplay@mechmocha.com
Privacy Policy
Bangalore, Karnataka",Sports,"₹15.00 - ₹10,000.00 per item","Users Interact, In-App Purchases","['June', '26', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","1,000,000+",18626,Mech Mocha Internet,3.9,5.0 and up,59.0,211.0,15.0,10000.0,12,6,26,2020,1000000,5.0,4
C Programiz,helpdeskdeveloper412@gmail.com,Education,$0 - $0 per item,No Interactive Elements,"['March', '12', '', '2020']","Rated for 3+
Learn More","1,000+",38,Sumant Kumar,4.5,5.0 and up,6.9,4.0,0.0,0.0,3,3,12,2020,1000,5.0,0
Guns'n'Glory Heroes,"Visit website
support@handy-games.com
Privacy Policy
Klingholz 13 97232 Giebelstadt Germany",Strategy,₹130.00 - ₹650.00 per item,In-Game Purchases,"['June', '3', '', '2019']","Rated for 7+
Mild Violence
Learn More","500,000+",15438,HandyGames,4.5,4.0.3 and up,33.0,1.0,130.0,650.0,7,6,3,2019,500000,4.0.3,3
"Hide Photos, Video and App Lock - Hide it Pro","Visit website
support@hideitpro.com
Privacy Policy
16, Sector 20, Part 1 HUDA Sirsa Haryana",Photography,₹100.00 - ₹500.00 per item,No Interactive Elements,"['December', '16', '', '2019']","Rated for 3+
Learn More","10,000,000+",550519,ANUJ TENANI,4.5,4.1 and up,11.0,8.0,100.0,500.0,3,12,16,2019,10000000,4.1,0
H&M - we love fashion,"Visit website
hmmobileapps@hm.com
Privacy Policy",Lifestyle,$0 - $0 per item,No Interactive Elements,"['June', '24', '', '2020']","Rated for 3+
Learn More","10,000,000+",448330,H&M,4.8,5.0 and up,22.0,14.0,0.0,0.0,3,6,24,2020,10000000,5.0,0
W Box VMS,"Visit website
WboxTechSupport@gmail.com
Privacy Policy
901 E 6th Street suite 400 Austin TX 78702",Video Players & Editors,$0 - $0 per item,No Interactive Elements,"['January', '9', '', '2017']","Rated for 3+
Learn More","10,000+",118,"Resideo Technologies, Inc.",1.9,2.3.3 and up,9.1,4.0,0.0,0.0,3,1,9,2017,10000,2.3.3,0
W Box VMS1,"Visit website
william.krejnicky@adiglobal.com
Privacy Policy
901 E 6th Street suite 400 Austin TX 78702",Business,$0 - $0 per item,No Interactive Elements,"['January', '14', '', '2020']","Rated for 3+
Learn More","10,000+",63,"Resideo Technologies, Inc.",2.5,5.0 and up,50.0,3.0,0.0,0.0,3,1,14,2020,10000,5.0,0
W Box VMS Pro 1,"Visit website
sumeet.chadak@honeywell.com
Privacy Policy
901 E 6th Street suite 400 Austin TX 78702",Business,$0 - $0 per item,No Interactive Elements,"['September', '27', '', '2019']","Rated for 3+
Learn More","10,000+",162,"Resideo Technologies, Inc.",3.6,4.4 and up,26.0,15.0,0.0,0.0,3,9,27,2019,10000,4.4,0
Casse-o-player,"vieshchunov@ukr.net
Privacy Policy
Mykoly Bazhana ave., 9V, STE 23 02121 Kyiv Ukraine",Music & Audio,₹170.00 per item,In-App Purchases,"['June', '12', '', '2020']","Rated for 3+
Learn More","1,000,000+",60385,Valentyn Vieshchunov,4.6,4.0.3 and up,16.0,3.0,170.0,170.0,3,6,12,2020,1000000,4.0.3,3
Huawei HiLink (Mobile WiFi),"Visit website
mwapp@huawei.com
Privacy Policy",Tools,$0 - $0 per item,No Interactive Elements,"['March', '19', '', '2020']","Rated for 3+
Learn More","10,000,000+",162706,Huawei Internet Service,4.1,4.3 and up,22.0,9.0,0.0,0.0,3,3,19,2020,10000000,4.3,0
"Hungama Play for TV - Movies, Music, Videos, Kids","Visit website
playsupport@hungama.com
Privacy Policy
SF-B-07, Art Guild House, Phoenix Market City, Lal Bahadur Shastri Marg, Kurla West, Mumbai, Maharashtra 400070",Entertainment,"₹29.00 - ₹1,499.00 per item",Digital Purchases,"['January', '31', '', '2020']","Rated for 3+
Learn More","100,000+",0,Hungama Digital Media Entertainment Pvt. Ltd.,-1.0,5.0 and up,9.5,2.0,29.0,1499.0,3,1,31,2020,100000,5.0,2
Nimo TV – Live Game Streaming,"Visit website
feedback@nimo.tv
Privacy Policy
MCPE Master",Entertainment,"₹90.00 - ₹17,900.00 per item","Users Interact, Digital Purchases","['June', '25', '', '2020']","Rated for 7+
Mild Violence
Learn More","10,000,000+",750044,Nimo TV,4.4,4.4 and up,59.0,1.0,90.0,17900.0,7,6,25,2020,10000000,4.4,3
H-LOG,"Visit website
support@armezo.com",Education,$0 - $0 per item,No Interactive Elements,"['October', '20', '', '2019']","Rated for 3+
Learn More","50,000+",2196,Hyundai Motor India,4.5,5.0 and up,8.4,3.0,0.0,0.0,3,10,20,2019,50000,5.0,0
H패션몰,"Visit website
hfashionmall@hyundaihmall.com
Privacy Policy",Shopping,$0 - $0 per item,"Shares Info, Digital Purchases","['June', '19', '', '2020']","Rated for 3+
Learn More","100,000+",476,(주)한섬,3.6,4.0.3 and up,11.0,2.0,0.0,0.0,3,6,19,2020,100000,4.0.3,6
Q-Pulse,"Visit website
support.qpulse@ideagen.com
Privacy Policy
Ideagen plc, Ergo House, Mere Way, Ruddington Fields Business Park, Ruddington, Nottinghamshire, NG11 6JS",Business,$0 - $0 per item,No Interactive Elements,"['June', '4', '', '2020']","Rated for 3+
Learn More","5,000+",20,Ideagen Plc,2.7,5.0 and up,32.0,2.0,0.0,0.0,3,6,4,2020,5000,5.0,0
Lords Mobile: Kingdom Wars,"Visit website
help.lordsmobile.android@igg.com
Privacy Policy
80 Pasir Panjang Road #18-84 Mapletree Business City Singapore 117372",Strategy,"₹10.00 - ₹15,500.00 per item","Users Interact, In-Game Purchases","['June', '12', '', '2020']","Rated for 7+
Mild Violence
Learn More","100,000,000+",5133496,IGG.COM,4.1,4.0.3 and up,75.0,2.0,10.0,15500.0,7,6,12,2020,100000000,4.0.3,4
Z Camera,"Visit website
eric@imaginevision-tech.com
Privacy Policy",Photography,$0 - $0 per item,No Interactive Elements,"['April', '8', '', '2016']","Rated for 3+
Learn More","10,000+",174,ImagineVision Tech,3.6,4.0 and up,7.7,1.0,0.0,0.0,3,4,8,2016,10000,4.0,0
PixelLab - Text on pictures,"Visit website
feedback@appholdings.org
Privacy Policy
601 Union St. #4200 Seattle, WA 98101",Photography,₹200.00 per item,No Interactive Elements,"['June', '25', '', '2020']","Rated for 3+
Learn More","10,000,000+",254204,App Holdings,4.4,Varies with device,-1.0,-1.0,200.0,200.0,3,6,25,2020,10000000,-1,0
Temple Run 2,"Visit website
support-android@imangistudios.com
Privacy Policy
Imangi Studios 4601 Six Forks Rd Suite 121 Raleigh, NC 27609",Action,"₹85.00 - ₹4,200.00 per item",In-Game Purchases,"['June', '26', '', '2020']","Rated for 7+
Fear
Learn More","500,000,000+",9181266,Imangi Studios,4.3,4.1 and up,100.0,1.0,85.0,4200.0,7,6,26,2020,500000000,4.1,3
imo free video calls and chat,"Visit website
feedback@imo.im
Privacy Policy
395 Pagemill Rd, Suite 100, Palo Alto, CA 94306",Communication,"₹61.23 - ₹26,000.00 per item",Users Interact,"['June', '20', '', '2020']","Rated for 12+
Parental Guidance Recommended
Learn More","500,000,000+",6227360,imo.im,4.2,Varies with device,-1.0,-1.0,61.23,26000.0,12,6,20,2020,500000000,-1,1
H-Band,"Visit website
hyundaiappstore@gmail.com
Privacy Policy",Health & Fitness,$0 - $0 per item,No Interactive Elements,"['March', '8', '', '2019']","Rated for 3+
Learn More","10,000+",132,Hyundai Motor India Limited,3.3,4.4 and up,11.0,1.0,0.0,0.0,3,3,8,2019,10000,4.4,0
India Today Television – English News India,"Visit website
indiatodayapps@gmail.com
Privacy Policy
FC-8, Sector-16A Film City, Noida, Uttar Pradesh 201301",News & Magazines,$0 - $0 per item,No Interactive Elements,"['November', '26', '', '2018']","Rated for 3+
Learn More","10,000+",0,TV Today Network Limited,-1.0,5.0 and up,15.0,3.0,0.0,0.0,3,11,26,2018,10000,5.0,0
U-Mobile - Union Bank of India,"Visit website
mbteam@unionbankofindia.com
Privacy Policy
Union Bank of India DIT 1/1A Adi Sankaracharya Marg Powai Andheri East Mumbai Maharashtra India - 400072",Finance,$0 - $0 per item,No Interactive Elements,"['June', '5', '', '2020']","Rated for 3+
Learn More","5,000,000+",188517,Union Bank of India,4.0,4.4 and up,-1.0,7.0,0.0,0.0,3,6,5,2020,5000000,4.4,0
m-hub,"Visit website
support@m-hub.com
Privacy Policy
Treviso (TV), 31100 Italy, Via Castelmenardo n. 55",Business,$0 - $0 per item,No Interactive Elements,"['May', '7', '', '2020']","Rated for 3+
Learn More","5,000+",13,m-hub s.r.l.,4.5,5.0 and up,37.0,3.0,0.0,0.0,3,5,7,2020,5000,5.0,0
Initiative Q,"Visit website
info@initiativeq.com
Privacy Policy",Finance,$0 - $0 per item,No Interactive Elements,"['May', '27', '', '2019']","Rated for 3+
Learn More","100,000+",2231,Initiative Q,4.2,4.1 and up,18.0,1.0,0.0,0.0,3,5,27,2019,100000,4.1,0
Q-Roc Free,"Visit website
inloopsoftware@gmail.com
Privacy Policy
Rua das Codornas, 96, ed. Top Imbui, ap.901 Imbui CEP 41720-020 Salvador-Ba",Action & Adventure,$0 - $0 per item,No Interactive Elements,"['April', '11', '', '2020']","Rated for 3+
Learn More","1,000+",0,Inloop Software,-1.0,4.4 and up,23.0,1.0,0.0,0.0,3,4,11,2020,1000,4.4,0
e-podroznik.pl,"Visit website
mobile@e-podroznik.pl
Privacy Policy
ul. Zakopiańska 73 30-418 Kraków POLAND",Maps & Navigation,$0 - $0 per item,No Interactive Elements,"['June', '19', '', '2020']","Rated for 3+
Learn More","1,000,000+",16941,Teroplan S.A.,3.9,4.1 and up,5.6,1.0,0.0,0.0,3,6,19,2020,1000000,4.1,0
